268.99	275.7	276.72	283.7	287.57	293.87	296.38	294.72	291.71	285.17	280.47	273.64
269.81	273.84	277.29	280.82	289.03	291.33	295.61	293.96	291.42	286.49	282.34	278.57
273.85	274.42	278.81	282.31	287.13	292.88	296.36	295.72	293.04	286.91	282.13	273.06
271.4	277.32	274.51	282.21	287.73	293.75	294.83	295.63	291.23	288.91	280.25	279.22
271.26	273.75	278.33	284.13	289.03	291.8	295.42	295.43	293.01	288.34	284.39	273.75
273.43	274	278.31	282.97	288.83	293.11	296.27	294.42	291.96	287.35	280.59	275.73
273.1	272.08	278.02	282.41	288.15	293.65	296.25	295.22	292.84	284.97	281.7	276.1
271.3	273.56	277.66	281.9	287.79	292.66	296.8	296.86	291.92	284.43	282.01	274.08
275.11	273.38	277.45	281.77	287.93	293.95	295.53	295.42	292.77	287.92	280.75	268.83
277.39	277.38	279.1	283.21	287.18	292.65	295.83	295.73	292.04	289.16	282.37	278.13
274.29	276.18	279.43	283.58	290.58	293.74	296.54	296.36	292.37	287.56	281.21	277.16
274.56	275.23	276.9	281.61	285.99	291.44	295.23	294.29	291.94	285.27	280.87	276.15
275.19	271.34	275.59	282.09	288.78	293.12	296.96	295.39	292.44	286.28	281.47	274.76
270.23	273.15	277.5	284.93	286.75	294.16	296.76	294.45	291.56	286.23	283.42	277.42
275.58	272.24	278.54	281.9	287.56	293.18	296.61	296.57	292.05	288.96	278.73	272.26
272.62	272.93	274.81	282.74	286.8	293.65	294.98	294.9	292.73	286.4	277.95	277.81
272.73	275.72	278.48	282.15	286.38	292.48	295.88	295.25	292.23	286.89	280.25	276.38
277.37	276.94	279.18	283.74	289.25	292.52	296.03	296.11	294.18	286.8	281.64	278.11
274.3	275.45	276.1	283.13	288.47	293.74	297.81	296.17	293.51	286.86	283.9	276.84
272.29	275.59	280.41	282.43	288.92	293.74	294.46	294.98	291.81	287.13	279.95	271.93
273.25	274.95	275.96	283.33	288.37	294.32	294.56	296.85	292.49	287.61	284.38	279.5
276.58	276.63	278.84	284.52	287.23	293.49	296.89	296.87	293.99	286.81	281.13	274.58
270.11	271.66	277.5	281.52	286.12	291.88	295.88	296.45	292.97	286.34	283.35	275.53
269.55	272.72	278.01	283.2	290.38	292.47	295.44	295.1	293.34	286.69	282.2	276.44
273.16	274.01	275.52	283.58	285.66	293.83	296.95	297.64	294.84	287.94	283.35	274.14
277.69	274.54	277.6	284.54	288.21	293.41	296.88	296.91	291.96	286.93	283.97	279.57
276.46	270.32	277.61	281.91	288.76	293.55	295.73	296.84	293.78	290.81	281.13	276.01
274.8	274.86	278.03	284.46	287.72	295.08	296.83	295.59	293.74	286.3	280.6	276.61
271.07	274.83	277.55	284.32	288.77	292.57	295.38	296.94	292.33	286.77	283.94	274.94
272.22	272.91	280.41	285.96	289.82	295.62	298.11	296.82	294.62	288.16	281.41	272.76
271.8	274.5	277.66	284.68	289.85	294.72	298.12	296.63	293.83	287.57	284.07	279.19
276.02	277.26	283.02	284.46	290.88	294.13	298.54	297.26	293.45	288.65	279.82	279.42
