-4	3.6	5.2	12.4	17.7	22.8	25.8	24.4	19.1	12.2	8.3	2.6
-3.7	1.7	5.1	10.1	17.4	19.3	24.6	22.4	19.4	14.1	9.4	5.4
1.3	1.7	6.2	10.9	14.9	22.5	25.7	24.8	21.5	14.1	8.9	1.7
-1.6	4	1.8	10.1	16.1	23.1	23.1	24.6	18.6	16.8	8	6.3
-2	2	7.1	12.1	18.1	20.3	24.8	24.3	21.5	15.3	10.3	1.5
1.1	-0.1	6.6	11.6	18.5	21.6	24.5	22.8	20	14.3	7.8	3.8
0.6	0.6	7.1	11.5	17.3	22.6	25.3	23.3	20	12.5	8.8	4.3
-1.3	1.6	6.1	10.3	16.8	22.3	25.8	26	19.8	11.6	9.6	2.6
3.1	1.1	5.3	10.8	16.8	22.6	24.6	24	20.8	15.1	8	-3.3
5.1	4.3	6.6	11.6	15.3	22.3	25.1	24.6	20.3	17.1	10.6	6.1
1.8	4.6	7.1	13.1	20.6	23.8	26	25.6	20.6	15.3	9.3	4.6
2.1	2.5	4.6	10.1	16.1	21.8	24.1	23.3	20.1	13.1	8.1	3.3
2.5	-0.8	3.3	11.3	18.3	22.8	26.6	25.1	20.1	13.6	9.3	3.1
-3.3	-0.8	4.8	13	16.8	24.1	27	24.1	20.3	14.6	11	5.6
3.3	-0.1	7.2	11.1	16.8	22.4	26.6	26.2	20.3	17.3	7.3	1.2
0.1	1.9	4.3	11.1	16	21.7	23.6	24.2	20.9	14.3	6.5	5.4
0.4	4.6	5.5	11.3	15.5	22.3	24.9	23.9	20.3	14.5	7.3	3.8
4.5	4.8	7	12	18.2	21.1	25.5	25.4	21.9	14.8	9.2	6.5
0.9	2.8	5.8	11.6	17.2	23.2	27.7	24.6	21.2	14.1	10.7	4.8
0	3	8.2	10.5	17.4	22.4	23.1	23.6	20	15	8	-0.1
1.1	2.2	4.2	11.9	17.7	23.5	23.9	26.6	20.4	15.4	11.9	6.9
4.6	4.9	6.7	13	16	22.5	26.3	25.8	21.8	13.6	7.9	2.6
-2.3	-1	5.7	9.6	14.7	20.5	25.1	25.6	20.9	13.6	10.5	3.7
-3.4	1.8	6.2	11.6	18.1	22.5	24.4	24.1	21.4	14.2	9.4	3.3
-0.7	2	3.7	12.3	14.9	23.6	25.8	27.1	23.8	15.5	10.6	2.5
5.3	2.6	6.6	13.4	17.7	22.9	27	25.6	20.5	14.9	11.8	7.4
3.8	-1.3	5.9	10.6	19.2	23.2	25.4	25	22.7	18.6	8.4	3.7
3	2.6	5.9	12.3	16.1	24.2	26.6	23.8	21.3	13.9	8.2	3.9
-1.8	2.7	5.3	12.1	17.1	20.1	23.6	25.4	19.9	13.7	11	2.6
0.5	0.9	8.9	14.4	19	24.4	28.2	25.9	22.5	15.7	9.6	1.7
-0.1	2.5	5.4	11.6	17.4	22.5	26.9	24.4	21.4	14.6	11.1	6.2
3	5.2	10.4	13.1	18.8	22.7	26.9	25.9	21.5	15.6	7.2	5.9
